country,name,playingrole,battingStyle,bowlingStyle,Images
Afghanistan,Hashmatullah Shahidi(c),Top order Batter,Left hand Bat,Right arm Offbreak,
Afghanistan,Ibrahim Zadran,Opening Batter,Right hand Bat,Right arm Medium fast,
Afghanistan,Ikram Alikhil,Wicketkeeper Batter,Left hand Bat,none,
Afghanistan,Najibullah Zadran,Middle order Batter,Left hand Bat,Right arm Offbreak,
Afghanistan,Rahmanullah Gurbaz,Wicketkeeper Batter,Right hand Bat,none,
Afghanistan,Riaz Hassan,Batter,Right hand Bat,none,
Afghanistan,Azmatullah Omarzai,Allrounder,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg"
Afghanistan,Mohammad Nabi,Allrounder,Right hand Bat,Right arm Offbreak,
Afghanistan,Rahmat Shah,Allrounder,Right hand Bat,Legbreak Googly,
Afghanistan,Rashid Khan,Bowling Allrounder,Right hand Bat,Legbreak Googly,
Afghanistan,Abdul Rahman,Bowler,Right hand Bat,Right arm Fast medium,
Afghanistan,Fazalhaq Farooqi,Bowler,Right hand Bat,Left arm Fast medium,
Afghanistan,Mujeeb Ur Rahman,Bowler,Right hand Bat,Right arm Offbreak,
Afghanistan,Naveen-ul-Haq,Bowler,Right hand Bat,Right arm Medium fast,
Afghanistan,Noor Ahmad,Bowler,Right hand Bat,Left arm Wrist spin,
Australia,Alex Carey,Wicketkeeper Batter,Left hand Bat,none,
Australia,Travis Head,Middle order Batter,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321500/321584.png"
Australia,Josh Inglis,Wicketkeeper Batter,Right hand Bat,none,
Australia,Marnus Labuschagne,Batter,Right hand Bat,Legbreak,
Australia,Steven Smith,Middle order Batter,Right hand Bat,Legbreak Googly,
Australia,David Warner,Opening Batter,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316500/316589.png"
Australia,Sean Abbott,Bowling Allrounder,Right hand Bat,Right arm Fast medium,
Australia,Cameron Green,Batting Allrounder,Right hand Bat,Right arm Fast medium,
Australia,Mitchell Marsh,Allrounder,Right hand Bat,Right arm Medium,
Australia,Glenn Maxwell,Batting Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316657.png"
Australia,Marcus Stoinis,Batting Allrounder,Right hand Bat,Right arm Medium,
Australia,Pat Cummins(c),Bowler,Right hand Bat,Right arm Fast,
Australia,Josh Hazlewood,Bowler,Left hand Bat,Right arm Fast medium,
Australia,Mitchell Starc,Bowler,Left hand Bat,Left arm Fast,
Australia,Adam Zampa,Bowler,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321500/321549.png"
Australia,Ashton Agar,Bowler,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Najmul Hossain Shanto(c),Top order Batter,Left hand Bat,Right arm Offbreak,
Bangladesh,Anamul Haque,Wicketkeeper Batter,Right hand Bat,none,
Bangladesh,Litton Das,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,
Bangladesh,Mushfiqur Rahim,Wicketkeeper Batter,Right hand Bat,none,
Bangladesh,Tanzid Hasan,Opening Batter,Left hand Bat,none,
Bangladesh,Towhid Hridoy,Top order Batter,Right hand Bat,Right arm Offbreak,
Bangladesh,Mahedi Hasan,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Mahmudullah,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Mehidy Hasan Miraz,Allrounder,Right hand Bat,Right arm Offbreak,
Bangladesh,Shakib Al Hasan,Allrounder,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Hasan Mahmud,Bowler,Right hand Bat,Right arm Fast medium,
Bangladesh,Mustafizur Rahman,Bowler,Left hand Bat,Left arm Fast medium,
Bangladesh,Nasum Ahmed,Bowler,Left hand Bat,Slow Left arm Orthodox,
Bangladesh,Shoriful Islam,Bowler,Left hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323100/323175.png"
Bangladesh,Tanzim Hasan Sakib,Bowler,Right hand Bat,Right arm Medium,
Bangladesh,Taskin Ahmed,Bowler,Left hand Bat,Right arm Fast,
England,Jos Buttler (c),Wicketkeeper Batter,Right hand Bat,none,
England,Jonny Bairstow,Wicketkeeper Batter,Right hand Bat,Right arm Medium,
England,Harry Brook,Batter,Right hand Bat,Right arm Medium,
England,Dawid Malan,Top order Batter,Left hand Bat,Legbreak,
England,Joe Root,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak",
England,Jason Roy,Opening Batter,Right hand Bat,none,
England,Moeen Ali,Batting Allrounder,Left hand Bat,Right arm Offbreak,
England,Brydon Carse,Bowling Allrounder,Right hand Bat,Right arm Fast,
England,Sam Curran,Allrounder,Left hand Bat,Left arm Medium fast,
England,Liam Livingstone,Batting Allrounder,Right hand Bat,"Right arm Offbreak, Legbreak",
England,Ben Stokes,Allrounder,Left hand Bat,Right arm Fast medium,
England,David Willey,Bowling Allrounder,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322900/322904.png"
England,Chris Woakes,Allrounder,Right hand Bat,Right arm Fast medium,
England,Gus Atkinson,Bowler,Right hand Bat,Right arm Fast medium,
England,Adil Rashid,Bowler,Right hand Bat,Legbreak,
England,Mark Wood,Bowler,Right hand Bat,Right arm Fast,
England,Reece Topley,Bowler,Right hand Bat,Left arm Fast medium,
India,Rohit Sharma(c),Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316584.png"
India,Ishan Kishan,Wicketkeeper Batter,Left hand Bat,none,
India,Shreyas Iyer,Top order Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323035.png"
India,Virat Kohli,Top order Batter,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png"
India,KL Rahul,Wicketkeeper Batter,Right hand Bat,none,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319942.png"
India,Shubman Gill,Opening Batter,Right hand Bat,Right arm Offbreak,
India,Suryakumar Yadav,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak",
India,Ravichandran Ashwin,Bowling Allrounder,Right hand Bat,Right arm Offbreak,
India,Ravindra Jadeja,Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316600.png"
India,Hardik Pandya,Allrounder,Right hand Bat,Right arm Medium fast,
India,Axar Patel,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,
India,Jasprit Bumrah,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319940.png"
India,Kuldeep Yadav,Bowler,Left hand Bat,Left arm Wrist spin,
India,Mohammed Shami,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316691.png"
India,Mohammed Siraj,Bowler,Right hand Bat,Right arm Fast,
India,Prasidh Krishna,Bowler,Right hand Bat,Right arm Fast medium,
India,Shardul Thakur,Bowler,Right hand Bat,Right arm Medium,
Netherlands,Scott Edwards (c),Wicketkeeper Batter,Right hand Bat,none,
Netherlands,Wesley Barresi,Batter,Right hand Bat,Right arm Offbreak,
Netherlands,Noah Croes,Batter,Right hand Bat,none,
Netherlands,Max O'Dowd,Opening Batter,Right hand Bat,Right arm Offbreak,
Netherlands,Vikramjit Singh,Opening Batter,Left hand Bat,Right arm Medium,
Netherlands,Colin Ackermann,Batting Allrounder,Right hand Bat,Right arm Offbreak,
Netherlands,Bas de Leede,Batting Allrounder,Right hand Bat,Right arm Fast medium,
Netherlands,Sybrand Engelbrecht,Allrounder,Right hand Bat,Right arm Offbreak,
Netherlands,Teja Nidamanuru,Allrounder,Right hand Bat,Right arm Offbreak,
Netherlands,Saqib Zulfiqar,Bowling Allrounder,Right hand Bat,Legbreak,
Netherlands,Roelof van der Merwe,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox,
Netherlands,Aryan Dutt,Bowler,Right hand Bat,Right arm Offbreak,
Netherlands,Shariz Ahmad,Bowler,Left hand Bat,Legbreak Googly,
Netherlands,Logan van Beek,Bowler,Right hand Bat,Right arm Medium fast,
Netherlands,Paul van Meekeren,Bowler,Right hand Bat,Right arm Fast medium,
Netherlands,Ryan Klein,Bowler,Right hand Bat,Right arm Medium fast,
New Zealand,Kane Williamson(c),Top order Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316618.png"
New Zealand,Tom Latham (vc),Wicketkeeper Batter,Left hand Bat,Right arm Medium,
New Zealand,Devon Conway,Wicketkeeper Batter,Left hand Bat,Right arm Medium,
New Zealand,Will Young,Top order Batter,Right hand Bat,Right arm Offbreak,
New Zealand,Mark Chapman,Allrounder,Left hand Bat,Slow Left arm Orthodox,
New Zealand,Daryl Mitchell,Batting Allrounder,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321212.png"
New Zealand,James Neesham,Batting Allrounder,Left hand Bat,Right arm Medium fast,
New Zealand,Glenn Phillips,Allrounder,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321223.png"
New Zealand,Rachin Ravindra,Batting Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329746.png"
New Zealand,Mitchell Santner,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319792.png"
New Zealand,Trent Boult,Bowler,Right hand Bat,Left arm Fast medium,
New Zealand,Lockie Ferguson,Bowler,Right hand Bat,Right arm Fast,
New Zealand,Kyle Jamieson,Bowler,Right hand Bat,Right arm Fast medium,
New Zealand,Ish Sodhi,Bowler,Right hand Bat,Legbreak,
New Zealand,Tim Southee,Bowler,Right hand Bat,Right arm Medium fast,
New Zealand,Matt Henry,Bowler,Right hand Bat,Right arm Fast medium,
Pakistan,Babar Azam(c),Batter,Right hand Bat,Right arm Offbreak,
Pakistan,Abdullah Shafique,Top order Batter,Right hand Bat,Right arm Offbreak,
Pakistan,Fakhar Zaman,Opening Batter,Left hand Bat,Slow Left arm Orthodox,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320449.png"
Pakistan,Iftikhar Ahmed,Middle order Batter,Right hand Bat,Right arm Offbreak,
Pakistan,Imam-ul-Haq,Top order Batter,Left hand Bat,none,
Pakistan,Mohammad Rizwan,Wicketkeeper Batter,Right hand Bat,none,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320458.png"
Pakistan,Saud Shakeel,Middle order Batter,Left hand Bat,Left arm Slow,
Pakistan,Agha Salman,Allrounder,Right hand Bat,Right arm Offbreak,
Pakistan,Mohammad Nawaz,Allrounder,Left hand Bat,Slow Left arm Orthodox,
Pakistan,Mohammad Wasim,Bowling Allrounder,Right hand Bat,Right arm Fast medium,
Pakistan,Shadab Khan,Allrounder,Right hand Bat,Legbreak,
Pakistan,Haris Rauf,Bowler,Right hand Bat,Right arm Fast,
Pakistan,Hasan Ali,Bowler,Right hand Bat,Right arm Medium fast,
Pakistan,Shaheen Shah Afridi,Bowler,Left hand Bat,Left arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322250.png"
Pakistan,Usama Mir,Bowler,Right hand Bat,Legbreak,
South Africa,Temba Bavuma(c),Middle order Batter,Right hand Bat,Right arm Medium,
South Africa,Quinton de Kock,Wicketkeeper Batter,Left hand Bat,none,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/316600/316668.png"
South Africa,Reeza Hendricks,Opening Batter,Right hand Bat,Right arm Offbreak,
South Africa,Heinrich Klaasen,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak,
South Africa,Aiden Markram,Opening Batter,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322000/322067.png"
South Africa,David Miller,Middle order Batter,Left hand Bat,Right arm Offbreak,
South Africa,Rassie van der Dussen,Top order Batter,Right hand Bat,Legbreak,
South Africa,Marco Jansen,Bowling Allrounder,Right hand Bat,Left arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337189.png"
South Africa,Andile Phehlukwayo,Bowling Allrounder,Left hand Bat,Right arm Medium fast,
South Africa,Gerald Coetzee,Bowler,Right hand Bat,Right arm Fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348500/348579.png"
South Africa,Keshav Maharaj,Bowler,Right hand Bat,Slow Left arm Orthodox,
South Africa,Lungi Ngidi,Bowler,Right hand Bat,Right arm Fast medium,
South Africa,Kagiso Rabada,Bowler,Left hand Bat,Right arm Fast,
South Africa,Tabraiz Shamsi,Bowler,Right hand Bat,Left arm Wrist spin,
South Africa,Lizaad Williams,Bowler,Left hand Bat,Right arm Medium fast,
South Africa,Sisanda Magala,Bowler,Right hand Bat,Right arm Fast medium,
South Africa,Anrich Nortje,Bowler,Right hand Bat,Right arm Fast,
Sri Lanka,Kusal Mendis(c),Wicketkeeper Batter,Right hand Bat,Legbreak,
Sri Lanka,Dimuth Karunaratne,Opening Batter,Left hand Bat,Right arm Medium,
Sri Lanka,Pathum Nissanka,Top order Batter,Right hand Bat,none,
Sri Lanka,Kusal Perera,Wicketkeeper Batter,Left hand Bat,none,
Sri Lanka,Sadeera Samarawickrama,Wicketkeeper Batter,Right hand Bat,none,
Sri Lanka,Charith Asalanka,Batting Allrounder,Left hand Bat,Right arm Offbreak,
Sri Lanka,Dhananjaya de Silva,Allrounder,Right hand Bat,Right arm Offbreak,
Sri Lanka,Dushan Hemantha,Allrounder,Right hand Bat,Legbreak,
Sri Lanka,Chamika Karunaratne,Bowling Allrounder,Right hand Bat,Right arm Medium fast,
Sri Lanka,Angelo Mathews,Allrounder,Right hand Bat,Right arm Medium,
Sri Lanka,Dasun Shanaka,Allrounder,Right hand Bat,Right arm Medium,
Sri Lanka,Dushmantha Chameera,Bowler,Right hand Bat,Right arm Fast,
Sri Lanka,Dilshan Madushanka,Bowler,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/348600/348600.png"
Sri Lanka,Kasun Rajitha,Bowler,Right hand Bat,Right arm Medium fast,
Sri Lanka,Maheesh Theekshana,Bowler,Right hand Bat,Right arm Offbreak,
Sri Lanka,Dunith Wellalage,Bowler,Left hand Bat,Slow Left arm Orthodox,
Sri Lanka,Lahiru Kumara,Bowler,Left hand Bat,Right arm Fast,
Sri Lanka,Matheesha Pathirana,Bowler,Right hand Bat,Right arm Fast,
